locus_tag	ftype	length_bp	gene	EC_number	COG	product
PAKPHHPE_00001	tRNA	76				tRNA-Ala(tgc)
PAKPHHPE_00002	rRNA	79				5S ribosomal RNA (partial)
PAKPHHPE_00003	tRNA	74				tRNA-Ala(tgc)
PAKPHHPE_00004	tRNA	77				tRNA-Ile(gat)
PAKPHHPE_00005	tRNA	77				tRNA-Ile(gat)
PAKPHHPE_00006	tRNA	77				tRNA-Arg(acg)
PAKPHHPE_00007	tRNA	74				tRNA-Ala(tgc)
PAKPHHPE_00008	tRNA	77				tRNA-Ile(gat)
PAKPHHPE_00009	tRNA	76				tRNA-Glu(ttc)
PAKPHHPE_00010	rRNA	456				16S ribosomal RNA (partial)
PAKPHHPE_00011	CDS	264				hypothetical protein
PAKPHHPE_00012	CDS	168				hypothetical protein
PAKPHHPE_00013	CDS	255				hypothetical protein
PAKPHHPE_00014	CDS	231				hypothetical protein
PAKPHHPE_00015	CDS	654				hypothetical protein
PAKPHHPE_00016	CDS	855				hypothetical protein
PAKPHHPE_00017	CDS	354				hypothetical protein
PAKPHHPE_00018	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
PAKPHHPE_00019	CDS	375	yobA		COG2372	Protein YobA
PAKPHHPE_00020	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
PAKPHHPE_00021	CDS	657				hypothetical protein
PAKPHHPE_00022	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
PAKPHHPE_00023	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
PAKPHHPE_00024	CDS	660	yebE		COG2979	Inner membrane protein YebE
PAKPHHPE_00025	CDS	354	yebF			Protein YebF
PAKPHHPE_00026	CDS	291				hypothetical protein
PAKPHHPE_00027	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
PAKPHHPE_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
PAKPHHPE_00029	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
PAKPHHPE_00030	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
PAKPHHPE_00031	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
PAKPHHPE_00032	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
PAKPHHPE_00033	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
PAKPHHPE_00034	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
PAKPHHPE_00035	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
PAKPHHPE_00036	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
PAKPHHPE_00037	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
PAKPHHPE_00038	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
