locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJBIFGEO_00001	tRNA	83				tRNA-Ala(ggc)
AJBIFGEO_00002	CDS	303				hypothetical protein
AJBIFGEO_00003	CDS	981				hypothetical protein
AJBIFGEO_00004	CDS	405				hypothetical protein
AJBIFGEO_00005	CDS	363			COG3391	PE-PGRS family protein PE_PGRS18
AJBIFGEO_00006	CDS	174	rpmF			50S ribosomal protein L32
AJBIFGEO_00007	CDS	474				hypothetical protein
AJBIFGEO_00008	CDS	513				hypothetical protein
AJBIFGEO_00009	CDS	282				hypothetical protein
AJBIFGEO_00010	CDS	108				hypothetical protein
AJBIFGEO_00011	CDS	510				hypothetical protein
AJBIFGEO_00012	CDS	618				hypothetical protein
	repeat_region	1149				
AJBIFGEO_00013	CDS	162				hypothetical protein
AJBIFGEO_00014	CDS	267				hypothetical protein
AJBIFGEO_00015	CDS	255				hypothetical protein
AJBIFGEO_00016	CDS	189				hypothetical protein
AJBIFGEO_00017	CDS	210				hypothetical protein
AJBIFGEO_00018	CDS	444				hypothetical protein
AJBIFGEO_00019	CDS	279				hypothetical protein
AJBIFGEO_00020	CDS	114				hypothetical protein
AJBIFGEO_00021	CDS	291				hypothetical protein
AJBIFGEO_00022	CDS	207				hypothetical protein
AJBIFGEO_00023	CDS	225				hypothetical protein
AJBIFGEO_00024	CDS	246				hypothetical protein
AJBIFGEO_00025	CDS	378				hypothetical protein
AJBIFGEO_00026	CDS	330				hypothetical protein
AJBIFGEO_00027	CDS	177				hypothetical protein
AJBIFGEO_00028	CDS	201				hypothetical protein
AJBIFGEO_00029	CDS	765				hypothetical protein
AJBIFGEO_00030	CDS	429				hypothetical protein
AJBIFGEO_00031	CDS	138				hypothetical protein
AJBIFGEO_00032	CDS	195				hypothetical protein
AJBIFGEO_00033	CDS	93				hypothetical protein
AJBIFGEO_00034	CDS	156				hypothetical protein
AJBIFGEO_00035	CDS	528				hypothetical protein
AJBIFGEO_00036	CDS	153			COG2814	Chloramphenicol efflux pump
AJBIFGEO_00037	CDS	189				hypothetical protein
AJBIFGEO_00038	CDS	279				PPE family protein PPE57
AJBIFGEO_00039	CDS	153				hypothetical protein
AJBIFGEO_00040	CDS	99				hypothetical protein
AJBIFGEO_00041	CDS	186				hypothetical protein
AJBIFGEO_00042	CDS	99				hypothetical protein
AJBIFGEO_00043	CDS	111				hypothetical protein
AJBIFGEO_00044	CDS	114				hypothetical protein
AJBIFGEO_00045	CDS	123		2.4.1.18	COG1543	putative 1,4-alpha-glucan branching enzyme
AJBIFGEO_00046	CDS	93				hypothetical protein
AJBIFGEO_00047	CDS	342				hypothetical protein
AJBIFGEO_00048	CDS	174				hypothetical protein
AJBIFGEO_00049	CDS	186	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
AJBIFGEO_00050	CDS	105				hypothetical protein
AJBIFGEO_00051	CDS	135				hypothetical protein
AJBIFGEO_00052	CDS	99				hypothetical protein
AJBIFGEO_00053	CDS	171	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
AJBIFGEO_00054	CDS	144	dapE_1	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
AJBIFGEO_00055	CDS	207				hypothetical protein
AJBIFGEO_00056	CDS	129				hypothetical protein
AJBIFGEO_00057	tRNA	74				tRNA-Glu(ctc)
AJBIFGEO_00058	CDS	120				hypothetical protein
AJBIFGEO_00059	CDS	105	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
AJBIFGEO_00060	CDS	177			COG2814	Chloramphenicol efflux pump
AJBIFGEO_00061	CDS	105				hypothetical protein
AJBIFGEO_00062	CDS	126				hypothetical protein
